year;total_population;num_children;num_retirees;avg_income;avg_net_worth;child;civil servant;craftsman;farmer;fisher;homemaker;retired;service provider;unemployed;gdp;civil servant;craftsman;farmer;fisher;homemaker;retired;service provider;unemployed
0;500;124;0;2520.241995;10000;124;43;48;73;53;74;0;41;44;947610.99;5357.960465;4212.391458;2182.726575;2232.419245;202.78;0;5215.757805;193.5193182
1;506;121;9;2419.293377;10666.92466;121;41;48;75;52;75;9;41;44;931427.95;5237.495854;4173.849167;2193.2776;2152.949231;205.4012;297.7677778;5197.599512;197.9568182
2;510;118;19;2226.287347;11279.01755;118;42;49;74;50;74;19;39;45;872704.64;5291.490238;4110.99102;1448.089865;2181.2402;195.2501351;318.3857895;5224.592308;189.9086667
3;512;113;27;2193.687068;11884.26854;113;41;50;74;48;76;27;39;44;875281.14;4925.544878;3735.0098;2051.959459;2437.225417;168.9630263;316.4618519;4847.778462;165.9652273
4;513;110;37;2117.547816;12450.34127;110;41;48;73;46;75;37;40;43;853371.77;5060.725122;3766.253542;2011.691096;1966.165652;160.8362667;322.4518919;4921.84725;161.3365116
5;513;108;38;2226.430642;13078.04984;108;41;48;74;46;75;38;40;43;901704.41;5311.467317;3914.046042;2043.443514;2118.274348;161.1881333;356.1039474;5364.999;167.06
6;513;104;44;1938.286773;13618.56263;104;44;47;73;45;73;44;41;42;792759.29;5014.709545;2029.74383;1638.630685;2596.155111;145.6871233;359.2245455;5056.196341;155.2857143
7;512;101;43;2101.539416;14220.88561;101;43;47;73;45;77;43;41;42;863732.7;5173.932093;3846.684255;1664.27863;2007.533778;141.4736364;391.9669767;5231.094634;152.5040476
8;512;97;45;2407.426627;14901.06303;97;44;48;72;46;77;45;40;43;999082.05;5738.605227;4381.68375;2281.396806;2280.601087;150.3703896;450.3262222;5707.13275;161.9969767
9;510;95;46;2353.400024;15567.20114;95;43;48;70;46;79;46;40;43;976661.01;5862.187674;4426.074375;1557.158286;2881.901957;142.6160759;506.7386957;5731.668;156.3588372
10;510;94;52;2396.3575;16261.33369;94;42;47;68;47;78;52;40;42;996884.72;5891.957619;4398.081489;2401.629853;2346.296383;136.9428205;594.3130769;5534.20675;146.9480952
11;510;89;53;2343.482233;16899.41514;89;43;48;69;48;82;53;38;40;986606.02;5895.175116;4376.875;2348.237536;2290.973333;126.0041463;632.0032075;5314.534474;131.189
12;507;87;56;2472.874119;17506.9715;87;43;50;71;50;80;56;38;32;1038607.13;5965.992093;4473.0552;2315.725352;2891.8566;115.742375;632.8694643;5280.428421;126.594375
13;507;85;56;2493.805261;18076.16116;85;45;52;72;52;79;56;39;27;1052385.82;6000.82;4463.120962;2353.955694;2418.919231;108.0502532;640.9580357;5320.048205;114.3155556
14;503;87;53;2523.870192;18617.06336;87;45;52;73;52;75;53;41;25;1049930;6029.050444;4477.133654;2143.674658;2398.756731;96.68053333;637.0964151;5387.284146;107.6952
15;503;90;50;2673.465981;19406.10161;90;45;54;73;52;73;50;41;25;1104141.45;6034.717333;4527.906296;2197.578493;3038.913846;87.72616438;699.4494;5506.650732;99.0528
16;503;91;52;2546.353519;19899.36638;91;45;54;72;54;71;52;39;25;1049097.65;6186.04;4694.847407;1654.121111;2528.78463;78.92352113;771.3148077;5476.309487;90.5996
17;505;91;59;2552.650676;20405.40974;91;44;53;71;55;70;59;39;23;1056797.38;6051.56;4568.601321;2269.001408;2277.287273;65.91085714;759.5222034;5408.545128;73.22347826
18;503;93;55;2681.073146;21080.38994;93;45;54;71;55;71;55;37;22;1099239.99;6128.302222;4617.86963;2355.377324;2880.833273;57.15591549;824.5596364;5342.364324;61.24909091
19;501;95;51;2631.359384;21480.90122;95;42;53;72;55;71;51;40;22;1068331.91;6153.181667;4728.378868;2389.4125;2297.401273;47.61070423;876.2747059;5293.209;50.03181818
20;499;100;54;2673.249348;22090.89633;100;41;56;68;54;64;54;39;23;1066626.49;6125.344878;4836.8325;2278.545;2337.184815;35.71453125;959.422037;5344.703333;40.77130435
21;503;105;59;2770.712362;22833.19519;105;40;54;70;54;59;59;39;23;1102743.52;6072.4015;4843.584815;2287.533143;2869.366111;25.38661017;1094.863559;5550.335641;28.82347826
22;500;111;54;2943.782159;23289.84408;111;39;55;71;55;54;54;40;21;1145131.26;6336.342821;5179.626727;2507.314085;2515.341091;16.48240741;1226.578519;5732.61725;16.25619048
23;502;116;60;2790.604249;23757.80861;116;39;53;66;55;55;60;39;19;1077173.24;6259.300513;5217.033019;1688.524848;2525.435636;5.27;1285.663833;5865.418974;1.85
24;501;121;59;2977.764263;24326.11491;121;39;50;63;55;56;59;39;19;1131550.42;6243.225641;5067.358;2253.792698;3205.154909;-5.915892857;1413.031525;5990.661538;-13.11105263
25;503;124;63;2967.016201;24467.63249;124;39;51;63;56;57;54;39;20;1124499.14;6458.101026;5176.655686;2338.425238;2651.328393;-17.43508772;1355.36463;6181.847692;-22.9685
26;500;130;59;3102.53;24813.65318;130;39;52;63;56;59;42;39;20;1147936.1;6671.046923;5307.735962;2386.629841;2741.137143;-27.54949153;1449.130714;6395.369231;-37.7915
27;503;133;59;3288.771784;25354.21336;133;39;52;64;57;60;37;39;22;1216845.56;6911.827436;5435.9375;2458.201563;3421.571053;-41.45116667;1522.149189;6650.245897;-42.31590909
28;502;136;58;3232.372951;25385.78735;136;37;54;66;58;60;31;39;21;1183048.5;6920.865135;5464.667778;2472.237727;2803.266207;-58.51083333;1529.308387;6754.92359;-57.74428571
29;501;139;56;3373.030746;25588.80006;139;38;54;67;58;60;24;39;22;1221037.13;6983.025789;5491.067037;2795.001194;2846.685862;-75.35333333;1587.115417;7043.57641;-67.15363636
30;502;141;62;3301.967147;25727.69753;141;39;52;67;57;59;26;39;22;1192010.14;7012.843077;5552.861731;1928.181194;3493.602281;-89.44457627;1413.120769;6963.940256;-73.66363636
31;504;142;66;3324.254254;26246.02228;142;39;52;67;57;57;27;42;21;1203380.04;6847.836923;5462.793077;2731.902537;2791.806842;-103.7522807;1416.974444;6655.482381;-85.52333333
32;505;140;66;3340.757836;26833.35048;140;39;51;68;56;60;26;42;23;1219376.61;6835.887436;5396.869804;2816.809412;2846.732679;-113.1411667;1715.776154;6922.805714;-87.08608696
33;503;140;65;3463.461763;26671.03976;140;37;52;67;57;62;24;45;19;1257236.62;6823.461081;5324.275577;2898.717463;3578.917895;-124.5790323;1638.717083;6658.300889;-80.79
34;505;139;71;3362.75571;27203.9903;139;38;51;65;59;62;28;46;17;1230768.59;6889.901053;5444.12098;2782.959692;2816.531695;-141.0133871;1778.917857;6631.768261;-111.3988235
35;508;137;75;3310.21496;27841.52498;137;36;51;63;60;63;37;45;16;1228089.75;6768.415278;5603.483725;2754.941905;2720.204333;-150.7366667;1888.893514;6740.882222;-116.05125
36;496;141;62;3464.402958;26852.54728;141;37;51;59;58;60;29;44;17;1229863.05;6540.568919;5463.368627;2710.48322;3459.132414;-167.7358333;1892.355517;6952.400909;-119.87
37;491;145;57;3278.196156;26160.82165;145;37;51;62;57;59;18;44;18;1134255.87;6742.422432;5507.341373;1905.471613;2785.784737;-187.2916949;1823.081111;6977.395227;-99.32111111
38;496;147;56;2945.392579;26131.1829;147;30;46;57;49;54;56;40;17;1027942.01;6018.914;4951.676304;2448.744912;2579.295918;-158.4394444;1825.316607;6541.0225;-98.19882353
39;498;149;56;2989.172521;26303.25444;149;30;45;55;53;55;56;38;17;1043221.21;6200.163667;4871.655778;2410.208182;3058.124906;-161.3992727;1965.015;6425.523421;-116.7088235
40;501;148;55;2871.802465;26275.71693;148;31;48;54;55;57;55;36;17;1013746.27;6234.61871;4877.777292;2308.108704;2429.007818;-169.4819298;1950.266909;6466.980556;-135.8252941
41;503;148;57;2845.728169;25996.17388;148;32;51;51;55;54;57;38;17;1010233.5;6292.385938;4954.401961;1696.690392;2396.979455;-167.1566667;1755.947018;6561.222895;-150.0835294
42;504;147;53;3017.574678;26838.68544;147;33;53;58;56;50;53;37;17;1077274.16;6333.90697;4992.389057;1649.229828;3012.259286;-192.1592;2017.249245;6599.901892;-128.58
43;502;148;53;2988.323531;26404.24416;148;31;52;58;60;49;53;36;15;1057866.53;6232.219677;5097.68;2307.71931;2396.858;-195.0593878;1952.109623;6370.641111;-87.85466667
44;501;147;49;2863.638418;26363.25048;147;31;51;59;59;51;49;37;17;1013728;6457.253871;5021.205098;1580.548644;2403.873051;-201.8586275;2094.070816;6253.500811;-76.67176471
45;498;149;42;2965.631948;26084.4606;149;31;52;60;58;52;42;37;17;1035005.55;6300.824516;4713.380962;2225.919833;2833.989655;-196.0261538;2118.014762;5929.651351;-88.39823529
46;499;150;44;2884.469484;26298.3086;150;32;53;61;56;50;44;36;17;1006679.85;6451.712813;4674.946604;2178.839836;2224.066607;-181.638;2047.440227;5971.781389;-58.45235294
47;498;151;40;2859.523112;24995.26773;151;33;52;62;55;50;40;37;18;992254.52;6235.162424;4753.794808;2269.745161;2215.402909;-185.5964;1590.942;6039.24973;-60.25722222
48;502;151;45;2862.744786;24990.50791;151;32;50;62;55;49;45;36;22;1004823.42;6310.911875;4760.7612;2193.370645;2679.567455;-193.0273469;1640.267778;6057.011667;-42.50636364
49;503;151;46;2796.311705;25261.57386;151;32;49;62;57;49;46;36;21;984301.72;6175.818438;4690.195102;2303.978387;2195.70386;-177.0508163;1696.901739;6108.408333;-20.5
50;506;151;51;2911.872732;25363.47595;151;32;47;60;57;49;51;36;23;1033714.82;6689.84;4928.955957;2378.363833;2321.719123;-146.6155102;1594.610588;6643.3;-15.67782609
51;505;150;50;2860.190817;26049.76481;150;33;49;57;57;50;50;37;22;1015367.74;6632.997879;4824.859184;1519.689649;2864.551228;-139.0342;1703.9088;6286.811351;-31.67136364
52;503;150;46;2926.345156;26121.70264;150;33;49;55;60;51;46;38;21;1032999.84;6570.441212;4791.717347;2320.122182;2318.230833;-135.2023529;1752.50413;6366.866316;-46.67761905
53;503;152;46;2841.362621;25864.35998;152;30;47;55;62;52;46;38;21;997318.28;6239.886667;4776.000213;2345.041818;2357.475;-145.9142308;1931.829565;6048.380789;-28.8652381
54;501;150;42;2979.724957;25752.462;150;30;49;54;63;54;42;39;20;1045883.46;6470.697333;4795.53551;2383.271481;2834.805714;-101.987037;1807.385238;6153.265385;-44.4175
55;504;145;45;2849.126685;25967.53921;145;28;51;57;67;55;45;39;17;1022836.48;6399.851786;4674.631765;2412.290351;2246.283582;-115.8483636;1922.716;6102.308718;-53.39647059
56;503;141;44;2444.998149;25733.68382;141;24;46;49;64;49;82;30;18;885089.33;5755.06375;4196.82413;2153.743061;2197.27625;-20.36040816;1854.678415;5231.705333;-15.685
57;503;139;42;2543.395907;25739.39499;139;23;48;54;64;49;78;30;18;925796.11;5688.386522;4014.478125;2117.010185;2748.17;-28.50857143;1940.276667;5418.897;-24.70722222
58;503;138;45;2451.182932;25681.12628;138;23;49;55;64;48;78;30;18;894681.77;5837.327826;4169.010816;1487.892;2311.848438;-29.429375;2061.657179;5587.060333;-36.61777778
59;505;136;49;2217.855041;26152.88147;136;25;50;54;60;50;81;30;19;818388.51;5445.3976;2344.9074;2060.678889;2140.4195;-33.0202;1997.689136;5530.043667;-39.82894737
60;505;136;50;2535.687453;26072.57426;136;24;49;56;60;50;79;32;19;935668.67;5430.5425;4107.784898;1999.638393;2695.499333;-27.8474;2008.575696;5437.500938;-49.50842105
61;505;134;50;2248.61752;25554.88952;134;25;50;57;60;52;79;29;19;834237.1;5591.6216;4190.2756;982.9492982;2101.545833;-32.75269231;1974.153671;5161.891724;-59.89157895
62;508;132;51;2428.271064;25730.74539;132;26;50;55;64;53;80;30;18;913029.92;5570.590385;4195.6164;2047.119636;2112.488281;-41.22566038;1965.739;5210.605;-42.74388889
63;507;128;51;2545.153984;25784.2543;128;27;51;57;64;54;76;31;19;964613.36;5690.064074;4213.121373;2008.087544;2639.091094;-48.02814815;1968.639342;5374.165484;-45.92526316
64;503;127;46;2483.557926;25562.70032;127;26;51;57;68;55;67;32;20;933817.78;5694.287308;4319.458039;2036.752456;2140.063676;-45.61709091;2101.290448;5204.74;-48.7235
65;504;125;45;2423.312005;25341.87129;125;26;54;59;72;51;64;33;20;918435.25;5604.706923;4387.727593;1348.762373;2109.763472;-48.23137255;2062.915781;5332.550909;-62.268
66;502;125;41;2688.180875;25088.89514;125;28;55;59;72;50;57;34;22;1013444.19;5382.3025;4390.359636;2129.306441;2689.258333;-41.8994;2097.26807;5465.643529;-57.58772727
67;504;125;40;2610.210686;24986.49661;125;31;54;59;71;52;56;34;22;989269.85;5248.105806;4435.915741;2208.297288;2208.666056;-47.03480769;1994.2875;5635.709706;-41.55136364
68;505;126;37;2625.468575;25049.83412;126;32;55;60;71;50;53;36;22;995052.59;5345.019688;4406.217091;2005.923833;2286.55169;-40.2212;1931.148113;5550.594444;-54.17136364
69;505;127;33;2798.82246;24686.06911;127;33;55;62;69;50;51;37;21;1057954.89;5403.151515;4545.476364;2248.90129;2870.135072;-40.1084;1688.649608;5646.171622;-40.2652381
70;505;126;30;2737.794855;24219.79162;126;33;57;64;70;50;45;38;22;1037624.25;5588.832727;4614.112456;2222.81625;2371.913857;-52.5534;1426.445778;5825.328158;-46.85045455
71;505;125;27;2743.286526;24704.83804;125;33;59;64;72;53;39;38;22;1042448.88;5625.239697;4588.576441;2198.685781;2331.513333;-54.90169811;1524.221795;5847.069474;-55.38136364
72;506;122;26;2803.437396;25346.73773;122;33;62;66;73;54;34;40;22;1076519.96;5793.27303;4615.539032;1502.139848;2931.566575;-66.21407407;1698.675;5833.72475;-67.97454545
73;508;121;25;2881.575375;25217.09291;121;35;63;68;74;55;30;42;20;1115169.67;5793.330857;4694.988254;2213.334853;2460.596486;-76.82290909;1424.676667;5882.168333;-76.9095
74;510;118;28;2989.831658;25672.87261;118;35;67;72;75;56;28;43;16;1172014.01;5964.155143;4760.26209;2291.21;2517.800267;-89.18642857;1383.431429;6014.688837;-115.27375
75;512;113;32;3093.851328;26397.23352;113;35;66;73;76;57;32;44;16;1234446.68;6189.034286;4706.131515;2220.375479;3100.685263;-103.8180702;1531.299688;6103.608636;-134.776875
76;510;110;31;3057.900275;26693.66994;110;34;65;72;77;58;31;46;17;1223160.11;6324.507353;4937.948462;2257.37875;2562.377013;-120.5605172;1541.064194;6261.612391;-87.57294118
77;508;109;30;2789.218271;26693.99781;109;34;66;71;76;58;30;45;19;1112898.09;5670.200882;4550.487121;2152.03662;2340.929342;-116.1713793;1350.411667;5707.442667;-80.81315789
78;510;106;34;2848.173812;26955.70178;106;34;65;72;75;59;34;43;22;1150662.22;5584.2;4613.348308;2224.019306;2923.086667;-129.3523729;1620.770882;5480.027907;-70.215
79;512;103;41;2604.682494;27421.00014;103;33;64;72;75;58;41;44;22;1065315.14;5469.481515;4706.075469;1497.541528;2354.4444;-123.0277586;1538.025122;5571.481364;-83.70454545
80;512;100;45;2674.26932;27629.70125;100;34;62;73;77;57;45;41;23;1101798.96;5487.765882;4643.963871;2189.671096;2395.500779;-128.3482456;1604.000889;5370.392927;-89.59521739
81;512;97;50;2504.384289;28456.73568;97;33;62;72;75;58;50;41;24;1039319.48;5509.404545;2915.698548;2237.479306;2893.354267;-127.3237931;1796.518;5328.475122;-94.7025
82;511;93;52;2928.691364;29254.51932;93;33;63;70;76;58;52;42;24;1224192.99;6327.091212;5273.937937;2005.893857;2543.8275;-140.1917241;2016.127115;6060.26619;-76.71833333
83;506;92;48;2884.714831;29020.70168;92;30;60;72;78;60;48;42;24;1194271.94;6000.315333;5200.402333;2001.576528;2594.295897;-151.6803333;2151.13625;6262.31619;-58.38541667
84;505;91;48;3054.453116;28687.17152;91;31;59;71;78;60;48;42;25;1264543.59;6099.766774;5336.624407;2325.012676;3192.923205;-171.6835;2000.827083;6205.436905;3.9612
85;505;90;51;2979.618867;29159.30103;90;31;58;68;79;60;51;43;25;1236541.83;6277.282581;5321.302931;2478.509559;2661.402911;-169.6936667;2047.535098;6058.50093;-9.4876
86;505;90;52;2884.14453;29798.03715;90;31;59;68;76;59;52;44;26;1196919.98;6443.379355;5268.554237;1715.326324;2572.731447;-167.1745763;2155.415;6189.044773;-14.44269231
87;503;90;52;3120.437458;29731.957;90;32;56;70;74;59;52;44;26;1288740.67;6317.649375;5207.816607;2551.612857;3114.795676;-160.6791525;2187.549808;6414.884773;-26.81038462
88;504;91;54;2993.437191;30043.02946;91;32;56;69;73;60;54;43;26;1236289.56;6147.745313;5268.699464;2520.213913;2550.953699;-162.4566667;2334.223148;6259.511628;-40.74961538
89;501;93;51;3001.771373;29793.9477;93;31;55;67;74;60;51;43;27;1224722.72;6212.945806;5372.416;2538.032388;2496.56027;-170.3748333;2327.936667;6387.596512;-49.03851852
90;505;94;55;3114.13129;30067.99113;94;32;56;67;72;59;55;43;27;1279907.96;6319.8525;5438.757857;2519.427313;2991.319722;-187.4386441;2264.345636;6446.192326;-64.47444444
91;502;96;53;2988.85601;29616.87516;96;32;58;67;72;57;53;41;26;1213475.54;6518.246563;5378.737414;2264.872388;2487.886806;-188.4619298;2141.189811;6358.360244;-53.18923077
92;503;99;55;3031.538663;29645.19223;99;33;57;65;73;54;55;40;27;1224741.62;6510.125758;5386.312456;2475.648308;2498.059726;-177.2118519;2079.237273;6412.45075;-62.01777778
93;504;103;57;3053.614214;29347.6598;103;34;56;63;73;50;57;41;27;1224499.3;6406.115882;5407.240179;1714.861905;3092.743973;-177.9714;1919.248772;6605.122683;-45.53111111
94;500;108;52;3090.911556;29238.91474;108;32;56;62;72;50;52;40;28;1211637.33;6295.21875;5557.670536;2467.834355;2519.495833;-182.335;2072.311154;6686.075;-54.82428571
95;501;112;52;3059.242262;28317.67058;112;32;56;60;71;50;52;40;28;1190045.24;6516.434375;5518.929643;2392.182167;2466.82338;-205.5512;1729.464231;6902.32925;-70.13785714
96;503;115;54;3160.032552;28868.81318;115;32;55;60;69;51;54;39;28;1226092.63;6387.673438;5612.444727;2438.574833;3059.908696;-202.9586275;1867.139815;6858.940256;-86.38928571
97;502;120;51;3148.510576;28923.18622;120;32;54;59;68;50;51;40;28;1202731.04;6528.803125;5796.069815;2596.276949;2530.845;-181.7166;1730.931373;6981.25525;-103.5039286
98;504;124;53;3148.1435;29591.5123;124;31;52;60;69;49;53;38;28;1196294.53;6588.567097;5822.003846;2605.304333;2555.893478;-173.042449;1957.233019;6966.092368;-119.1407143
99;503;128;52;3243.325307;29144.45028;128;30;51;61;68;48;52;37;28;1216246.99;6693.791;5801.719804;2694.845902;3119.025588;-183.0445833;1834.606923;7035.75027;-138.2132143
100;503;131;50;3021.497446;29472.27414;131;30;51;62;66;48;50;35;30;1123997.05;6787.244333;5996.482941;1856.551613;2579.947424;-205.2752083;1919.7582;7040.876;-112.9666667
