,year,gdp,income,avg_income,avg_happiness,avg_age
0,0,947610.99,0.4734770501097802,1895.22198,100.0,33.516
1,1,931427.95,0.4834870178869744,1840.766699604743,99.45351778656128,34.10671936758893
2,2,872704.64,0.5246614212864901,1711.185568627451,99.13450980392156,34.831372549019605
3,3,875281.14,0.5039687224321285,1709.5334765625,100.17486328125,35.560546875
4,4,853371.77,0.5235830966677146,1663.4927290448343,100.82385964912281,36.23001949317739
5,5,901704.41,0.5285709044669691,1757.7084015594542,99.26832358674464,36.82846003898636
6,6,792759.29,0.5414962929953376,1545.339746588694,99.8588693957115,37.42495126705653
7,7,863732.7,0.5474602292427644,1686.9779296875,100.74193359375,37.82421875
8,8,999082.05,0.5295684497922214,1951.33212890625,99.90447265625,38.404296875
9,9,976661.01,0.5506500984915921,1915.021588235294,99.48472549019608,38.588235294117645
10,10,996884.72,0.5310708090295689,1954.6759215686275,99.38929411764705,38.884313725490195
11,11,986606.02,0.5342420152763215,1934.5216078431372,99.39280392156863,39.188235294117646
12,12,1038607.13,0.5186503053097941,2048.5347731755423,99.5346942800789,39.15581854043393
13,13,1052385.82,0.5172755364315529,2075.7116765285996,99.6967258382643,39.319526627218934
14,14,1049930.0,0.5175445099728265,2087.3359840954276,99.77872763419482,38.94831013916501
15,15,1104141.45,0.5032024462482301,2195.112226640159,99.88286282306163,38.98210735586481
16,16,1049097.65,0.5279461709377402,2085.681212723658,99.89252485089463,38.82703777335984
17,17,1056797.38,0.5158925379468368,2092.6680792079205,101.93158415841583,38.98217821782178
18,18,1099239.99,0.5009781676741859,2185.367773359841,102.86473161033797,38.87673956262425
19,19,1068331.91,0.5090218033863184,2132.399021956088,103.21489021956089,38.58483033932136
20,20,1066626.49,0.5054633005742148,2137.5280360721445,103.30444889779558,38.12825651302605
21,21,1102743.52,0.487646399486824,2192.333041749503,103.44570576540755,38.23459244532803
22,22,1145131.26,0.4753420423407246,2290.26252,101.67938000000001,37.746
23,23,1077173.24,0.5036598965182926,2145.763426294821,101.0614342629482,37.756972111553786
24,24,1131550.42,0.473561003978389,2258.5836726546904,100.83185628742515,37.56487025948104
25,25,1124499.14,0.4881893078962636,2235.584771371769,100.64580516898607,37.693836978131216
26,26,1147936.1,0.4883788402413601,2295.8722000000002,100.4603,37.196
27,27,1216845.56,0.4814440119009596,2419.1760636182903,100.33369781312128,37.22664015904572
28,28,1183048.5,0.4906596498218296,2356.6703187250996,100.24113545816734,37.02988047808765
29,29,1221037.13,0.4870066109314491,2437.199860279441,100.10383233532934,36.82235528942116
30,30,1192010.14,0.508184117132946,2374.5221912350594,100.00745019920318,36.7390438247012
31,31,1203380.04,0.4916795402445185,2387.6588095238094,100.07089285714287,36.898809523809526
32,32,1219376.61,0.4959972133202937,2414.607148514852,100.0369702970297,37.093069306930694
33,33,1257236.62,0.4790931133124974,2499.476381709742,100.05504970178927,36.92842942345924
34,34,1230768.59,0.493926272432128,2437.1655247524754,100.18558415841585,37.07920792079208
35,35,1228089.75,0.4983816926262,2417.4995078740158,100.33868110236222,37.57283464566929
36,36,1229863.05,0.4867700765430077,2479.562600806452,100.25387096774193,36.15524193548387
37,37,1134255.87,0.5279098960364245,2310.093421588595,100.00513238289206,34.9918533604888
38,38,1027942.01,0.5094281291914838,2072.4637298387097,100.34949596774193,34.72782258064516
39,39,1043221.21,0.4972886633949205,2094.8217068273093,100.54827309236948,34.42168674698795
40,40,1013746.27,0.5189316515255636,2023.4456487025948,100.62429141716567,34.483033932135726
41,41,1010233.5,0.5394176397804891,2008.4165009940357,100.53437375745527,34.48906560636183
42,42,1077274.16,0.5159244263291337,2137.44873015873,100.48660714285714,34.57738095238095
43,43,1057866.53,0.4996556828563983,2107.303844621514,97.45191235059761,34.29282868525896
44,44,1013728.0,0.5269758456474486,2023.4091816367265,95.9121756487026,34.07784431137725
45,45,1035005.55,0.4968177611362686,2078.3243975903615,96.56158634538153,33.373493975903614
46,46,1006679.85,0.5126529827098352,2017.394488977956,99.96845691382767,33.16032064128257
47,47,992254.52,0.5220350743022342,1992.4789558232933,101.54333333333334,32.80120481927711
48,48,1004823.42,0.5189040427339909,2001.6402788844623,102.32709163346613,32.98605577689243
49,49,984301.72,0.5232748153062625,1956.8622664015904,102.74445328031808,33.04572564612326
50,50,1033714.82,0.533177321234388,2042.9146640316205,101.51314229249012,33.41699604743083
51,51,1015367.74,0.5443753738070161,2010.629188118812,100.87877227722772,33.46930693069307
52,52,1032999.84,0.5297568570890562,2053.677614314115,100.55353876739562,33.31809145129225
53,53,997318.28,0.5197057668305066,1982.7401192842942,100.4296023856859,33.32007952286283
54,54,1045883.46,0.5095249433548273,2087.591736526946,100.34471057884231,32.89620758483034
55,55,1022836.48,0.5177870097041749,2029.4374603174604,100.40446428571428,33.12103174603175
56,56,885089.33,0.4977860079747738,1759.620934393638,100.7262226640159,33.06361829025845
57,57,925796.11,0.474870938968895,1840.5489264413518,100.8820874751491,32.94632206759443
58,58,894681.77,0.5112473779210919,1778.6913916500994,98.95787276341947,32.932405566600394
59,59,818388.51,0.49725445990336,1620.571306930693,99.55522772277227,33.205940594059406
60,60,935668.67,0.472209638645746,1852.8092475247527,100.31455445544555,33.21386138613861
61,61,834237.1,0.5303340051404867,1651.9546534653464,100.5709306930693,33.342574257425746
62,62,913029.92,0.4870325540733419,1797.3029921259842,97.75129921259843,33.724409448818896
63,63,964613.36,0.478075685636848,1902.5904536489152,99.41232741617358,33.81262327416174
64,64,933817.78,0.4818528284079559,1856.4965805168986,100.11383697813122,33.365805168986086
65,65,918435.25,0.5051095805665269,1822.2921626984128,100.31077380952381,33.44642857142857
66,66,1013444.19,0.4584243805668152,2018.8131274900397,100.38003984063745,33.179282868525895
67,67,989269.85,0.4762063107921844,1962.8370039682538,100.45009920634921,33.333333333333336
68,68,995052.59,0.4798500248377675,1970.4011683168317,100.43778217821783,33.4019801980198
69,69,1057954.89,0.4678717773452985,2094.9601782178215,100.39512871287128,33.40594059405941
70,70,1037624.25,0.4891067889613831,2054.701485148515,100.29057425742573,33.524752475247524
71,71,1042448.88,0.4913749935985753,2064.255207920792,100.21877227722773,33.67128712871287
72,72,1076519.96,0.4983833742424681,2127.5098023715414,100.10166007905138,33.86758893280632
73,73,1115169.67,0.485278529797906,2195.2158858267717,100.0753937007874,34.15157480314961
74,74,1172014.01,0.4789987356064641,2298.0666862745097,100.13464705882353,34.73725490196078
75,75,1234446.68,0.4711120450336086,2411.028671875,100.21302734375,35.455078125
76,76,1223160.11,0.4868893453981266,2398.3531568627454,100.17203921568627,35.73725490196078
77,77,1112898.09,0.4962439275980749,2190.7442716535434,101.08539370078739,35.854330708661415
78,78,1150662.22,0.4800106171268339,2256.200431372549,101.48313725490196,36.431372549019606
79,79,1065315.14,0.5270769291490935,2080.6936328125,101.78642578125,37.14453125
80,80,1101798.96,0.4980236899045838,2151.95109375,101.8401171875,37.732421875
81,81,1039319.48,0.4863070484572194,2029.920859375,101.07173828125,38.306640625
82,82,1224192.99,0.5074315253154424,2395.680998043053,100.65771037181996,38.66731898238748
83,83,1194271.94,0.5037290516422344,2360.2212252964428,100.35632411067195,38.5098814229249
84,84,1264543.59,0.4847271871166966,2504.046712871287,96.95326732673267,38.467326732673264
85,85,1236541.83,0.4912638107180507,2448.597683168317,95.33992079207921,38.62178217821782
86,86,1196919.98,0.5169631989391134,2370.1385742574257,97.78877227722772,38.62376237623762
87,87,1288740.67,0.4805903085019689,2562.1086878727633,98.9869184890656,38.54870775347913
88,88,1236289.56,0.4939860708907084,2452.9554761904765,99.62055555555555,38.607142857142854
89,89,1224722.72,0.4983245327210566,2444.5563273453095,99.86175648702594,38.30938123752495
90,90,1279907.96,0.4927054917885764,2534.471207920792,100.05950495049505,38.54257425742574
91,91,1213475.54,0.5098646020914055,2417.281952191235,100.07988047808765,38.19521912350598
92,92,1224741.62,0.5019291327814277,2434.8739960238568,100.08755467196819,38.27634194831014
93,93,1224499.3,0.5085379227851059,2429.562103174603,100.01829365079365,38.323412698412696
94,94,1211637.33,0.4990152820349978,2423.27466,100.00554,37.794
95,95,1190045.24,0.5178723672758131,2375.3398003992015,100.0041117764471,37.54690618762475
96,96,1226092.63,0.5033341197176943,2437.5599005964214,100.08850894632207,37.65407554671968
97,97,1202731.04,0.5180998737237581,2395.8785657370518,100.06834661354581,37.42828685258964
98,98,1196294.53,0.5117446547082435,2373.600257936508,100.12031746031747,37.56944444444444
99,99,1216246.99,0.4992930460393852,2417.9860636182902,100.11391650099404,37.50099403578529
100,100,1123997.05,0.5428125029475204,2234.5865805168987,100.02493041749503,37.49701789264414
101,101,1126056.84,0.5217847739334833,2247.6184431137726,99.92750499001995,37.20758483033932
102,102,1127379.15,0.5047247636495438,2245.775199203187,97.24470119521912,37.145418326693225
103,103,1125546.61,0.5055536128671476,2237.6672166998014,96.14976143141153,37.220675944334
104,104,1138870.39,0.4974833957136061,2255.188891089109,98.37104950495049,37.51089108910891
105,105,1164987.99,0.4711605447630247,2306.906910891089,99.57510891089109,37.51089108910891
106,106,1166087.28,0.4592735228120428,2309.0837227722773,100.25950495049506,37.504950495049506
107,107,1124034.57,0.4590722935561075,2230.2273214285715,100.51825396825396,37.45238095238095
108,108,1125968.26,0.4587432561927277,2238.505487077535,100.69111332007952,37.24453280318092
109,109,1164602.65,0.4576544990973143,2301.586264822134,100.84711462450593,37.58893280632411
110,110,1183632.27,0.4578442362519325,2348.4767261904763,100.75759920634921,37.44444444444444
