yearly_income,yearly_net_worth,yearly_age,yearly_F,yearly_M,yearly_X,yearly_child,yearly_civil servant,yearly_craftsman,yearly_farmer,yearly_fisher,yearly_homemaker,yearly_retired,yearly_service provider,yearly_unemployed
1895.22198,10000.0,33.516,234.0,244.0,22.0,124.0,43.0,48.0,73.0,53.0,74.0,0.0,41.0,44.0
1840.766699604743,10666.92466403162,34.10671936758893,237.0,247.0,22.0,121.0,41.0,48.0,75.0,52.0,75.0,9.0,41.0,44.0
1711.185568627451,11279.017549019609,34.831372549019605,239.0,248.0,23.0,118.0,42.0,49.0,74.0,50.0,74.0,19.0,39.0,45.0
1709.5334765625,11884.26853515625,35.560546875,239.0,250.0,23.0,113.0,41.0,50.0,74.0,48.0,76.0,27.0,39.0,44.0
1663.4927290448343,12450.34126705653,36.23001949317739,241.0,249.0,23.0,110.0,41.0,48.0,73.0,46.0,75.0,37.0,40.0,43.0
1757.7084015594542,13078.049844054582,36.82846003898636,240.0,250.0,23.0,108.0,41.0,48.0,74.0,46.0,75.0,38.0,40.0,43.0
1545.339746588694,13618.562631578947,37.42495126705653,239.0,251.0,23.0,104.0,44.0,47.0,73.0,45.0,73.0,44.0,41.0,42.0
1686.9779296875,14220.88560546875,37.82421875,239.0,251.0,22.0,101.0,43.0,47.0,73.0,45.0,77.0,43.0,41.0,42.0
1951.33212890625,14901.06302734375,38.404296875,241.0,249.0,22.0,97.0,44.0,48.0,72.0,46.0,77.0,45.0,40.0,43.0
1915.021588235294,15567.201137254902,38.588235294117645,242.0,246.0,22.0,95.0,43.0,48.0,70.0,46.0,79.0,46.0,40.0,43.0
1954.6759215686275,16261.33368627451,38.884313725490195,244.0,244.0,22.0,94.0,42.0,47.0,68.0,47.0,78.0,52.0,40.0,42.0
1934.5216078431372,16899.415137254902,39.188235294117646,243.0,245.0,22.0,89.0,43.0,48.0,69.0,48.0,82.0,53.0,38.0,40.0
2048.5347731755423,17506.97149901381,39.15581854043393,246.0,239.0,22.0,87.0,43.0,50.0,71.0,50.0,80.0,56.0,38.0,32.0
2075.7116765285996,18076.16116370809,39.319526627218934,247.0,237.0,23.0,85.0,45.0,52.0,72.0,52.0,79.0,56.0,39.0,27.0
2087.3359840954276,18617.06335984095,38.94831013916501,244.0,235.0,24.0,87.0,45.0,52.0,73.0,52.0,75.0,53.0,41.0,25.0
2195.112226640159,19406.10161033797,38.98210735586481,246.0,233.0,24.0,90.0,45.0,54.0,73.0,52.0,73.0,50.0,41.0,25.0
2085.681212723658,19899.36638170974,38.82703777335984,248.0,231.0,24.0,91.0,45.0,54.0,72.0,54.0,71.0,52.0,39.0,25.0
2092.6680792079205,20405.40974257426,38.98217821782178,249.0,232.0,24.0,91.0,44.0,53.0,71.0,55.0,70.0,59.0,39.0,23.0
2185.367773359841,21080.389940357854,38.87673956262425,250.0,230.0,23.0,93.0,45.0,54.0,71.0,55.0,71.0,55.0,37.0,22.0
2132.399021956088,21480.90121756487,38.58483033932136,250.0,228.0,23.0,95.0,42.0,53.0,72.0,55.0,71.0,51.0,40.0,22.0
2137.5280360721445,22090.89633266533,38.12825651302605,250.0,226.0,23.0,100.0,41.0,56.0,68.0,54.0,64.0,54.0,39.0,23.0
2192.333041749503,22833.195188866797,38.23459244532803,254.0,226.0,23.0,105.0,40.0,54.0,70.0,54.0,59.0,59.0,39.0,23.0
2290.26252,23289.84408,37.746,246.0,231.0,23.0,111.0,39.0,55.0,71.0,55.0,54.0,54.0,40.0,21.0
2145.763426294821,23757.808605577688,37.756972111553786,249.0,231.0,22.0,116.0,39.0,53.0,66.0,55.0,55.0,60.0,39.0,19.0
2258.5836726546904,24326.11491017964,37.56487025948104,250.0,230.0,21.0,121.0,39.0,50.0,63.0,55.0,56.0,59.0,39.0,19.0
2235.584771371769,24467.632485089463,37.693836978131216,252.0,230.0,21.0,124.0,39.0,51.0,63.0,56.0,57.0,54.0,39.0,20.0
2295.8722000000002,24813.65318,37.196,249.0,232.0,19.0,130.0,39.0,52.0,63.0,56.0,59.0,42.0,39.0,20.0
2419.1760636182903,25354.213359840956,37.22664015904572,250.0,233.0,20.0,133.0,39.0,52.0,64.0,57.0,60.0,37.0,39.0,22.0
2356.6703187250996,25385.78735059761,37.02988047808765,249.0,233.0,20.0,136.0,37.0,54.0,66.0,58.0,60.0,31.0,39.0,21.0
2437.199860279441,25588.80005988024,36.82235528942116,250.0,231.0,20.0,139.0,38.0,54.0,67.0,58.0,60.0,24.0,39.0,22.0
2374.5221912350594,25727.69752988048,36.7390438247012,250.0,232.0,20.0,141.0,39.0,52.0,67.0,57.0,59.0,26.0,39.0,22.0
2387.6588095238094,26246.022281746034,36.898809523809526,250.0,233.0,21.0,142.0,39.0,52.0,67.0,57.0,57.0,27.0,42.0,21.0
2414.607148514852,26833.350475247524,37.093069306930694,251.0,233.0,21.0,140.0,39.0,51.0,68.0,56.0,60.0,26.0,42.0,23.0
2499.476381709742,26671.03976143141,36.92842942345924,250.0,232.0,21.0,140.0,37.0,52.0,67.0,57.0,62.0,24.0,45.0,19.0
2437.1655247524754,27203.9902970297,37.07920792079208,251.0,233.0,21.0,139.0,38.0,51.0,65.0,59.0,62.0,28.0,46.0,17.0
2417.4995078740158,27841.52498031496,37.57283464566929,251.0,236.0,21.0,137.0,36.0,51.0,63.0,60.0,63.0,37.0,45.0,16.0
2479.562600806452,26852.547278225804,36.15524193548387,243.0,231.0,22.0,141.0,37.0,51.0,59.0,58.0,60.0,29.0,44.0,17.0
2310.093421588595,26160.8216496945,34.9918533604888,246.0,223.0,22.0,145.0,37.0,51.0,62.0,57.0,59.0,18.0,44.0,18.0
2072.4637298387097,26131.182903225807,34.72782258064516,249.0,225.0,22.0,147.0,30.0,46.0,57.0,49.0,54.0,56.0,40.0,17.0
2094.8217068273093,26303.254437751006,34.42168674698795,249.0,226.0,23.0,149.0,30.0,45.0,55.0,53.0,55.0,56.0,38.0,17.0
2023.4456487025948,26275.716926147703,34.483033932135726,253.0,226.0,22.0,148.0,31.0,48.0,54.0,55.0,57.0,55.0,36.0,17.0
2008.4165009940357,25996.173876739565,34.48906560636183,255.0,227.0,21.0,148.0,32.0,51.0,51.0,55.0,54.0,57.0,38.0,17.0
2137.44873015873,26838.685436507934,34.57738095238095,254.0,229.0,21.0,147.0,33.0,53.0,58.0,56.0,50.0,53.0,37.0,17.0
2107.303844621514,26404.244163346615,34.29282868525896,252.0,228.0,22.0,148.0,31.0,52.0,58.0,60.0,49.0,53.0,36.0,15.0
2023.4091816367265,26363.250479041915,34.07784431137725,254.0,226.0,21.0,147.0,31.0,51.0,59.0,59.0,51.0,49.0,37.0,17.0
2078.3243975903615,26084.46060240964,33.373493975903614,256.0,222.0,20.0,149.0,31.0,52.0,60.0,58.0,52.0,42.0,37.0,17.0
2017.394488977956,26298.30859719439,33.16032064128257,257.0,222.0,20.0,150.0,32.0,53.0,61.0,56.0,50.0,44.0,36.0,17.0
1992.4789558232933,24995.267730923693,32.80120481927711,252.0,227.0,19.0,151.0,33.0,52.0,62.0,55.0,50.0,40.0,37.0,18.0
2001.6402788844623,24990.507908366537,32.98605577689243,256.0,227.0,19.0,151.0,32.0,50.0,62.0,55.0,49.0,45.0,36.0,22.0
1956.8622664015904,25261.57385685885,33.04572564612326,257.0,227.0,19.0,151.0,32.0,49.0,62.0,57.0,49.0,46.0,36.0,21.0
2042.9146640316205,25363.4759486166,33.41699604743083,257.0,230.0,19.0,151.0,32.0,47.0,60.0,57.0,49.0,51.0,36.0,23.0
2010.629188118812,26049.76481188119,33.46930693069307,255.0,231.0,19.0,150.0,33.0,49.0,57.0,57.0,50.0,50.0,37.0,22.0
2053.677614314115,26121.702644135188,33.31809145129225,255.0,228.0,20.0,150.0,33.0,49.0,55.0,60.0,51.0,46.0,38.0,21.0
1982.7401192842942,25864.359980119283,33.32007952286283,257.0,225.0,21.0,152.0,30.0,47.0,55.0,62.0,52.0,46.0,38.0,21.0
2087.591736526946,25752.461996007987,32.89620758483034,255.0,224.0,22.0,150.0,30.0,49.0,54.0,63.0,54.0,42.0,39.0,20.0
2029.4374603174604,25967.539206349207,33.12103174603175,256.0,225.0,23.0,145.0,28.0,51.0,57.0,67.0,55.0,45.0,39.0,17.0
1759.620934393638,25733.68381709742,33.06361829025845,256.0,224.0,23.0,141.0,24.0,46.0,49.0,64.0,49.0,82.0,30.0,18.0
1840.5489264413518,25739.39499005964,32.94632206759443,258.0,223.0,22.0,139.0,23.0,48.0,54.0,64.0,49.0,78.0,30.0,18.0
1778.6913916500994,25681.126282306162,32.932405566600394,257.0,224.0,22.0,138.0,23.0,49.0,55.0,64.0,48.0,78.0,30.0,18.0
1620.571306930693,26152.881465346534,33.205940594059406,255.0,227.0,23.0,136.0,25.0,50.0,54.0,60.0,50.0,81.0,30.0,19.0
1852.8092475247527,26072.574257425742,33.21386138613861,254.0,228.0,23.0,136.0,24.0,49.0,56.0,60.0,50.0,79.0,32.0,19.0
1651.9546534653464,25554.889524752478,33.342574257425746,252.0,229.0,24.0,134.0,25.0,50.0,57.0,60.0,52.0,79.0,29.0,19.0
1797.3029921259842,25730.74539370079,33.724409448818896,254.0,230.0,24.0,132.0,26.0,50.0,55.0,64.0,53.0,80.0,30.0,18.0
1902.5904536489152,25784.25429980276,33.81262327416174,254.0,229.0,24.0,128.0,27.0,51.0,57.0,64.0,54.0,76.0,31.0,19.0
1856.4965805168986,25562.70031809145,33.365805168986086,249.0,230.0,24.0,127.0,26.0,51.0,57.0,68.0,55.0,67.0,32.0,20.0
1822.2921626984128,25341.871289682542,33.44642857142857,249.0,231.0,24.0,125.0,26.0,54.0,59.0,72.0,51.0,64.0,33.0,20.0
2018.8131274900397,25088.89513944223,33.179282868525895,246.0,233.0,23.0,125.0,28.0,55.0,59.0,72.0,50.0,57.0,34.0,22.0
1962.8370039682538,24986.496607142857,33.333333333333336,246.0,235.0,23.0,125.0,31.0,54.0,59.0,71.0,52.0,56.0,34.0,22.0
1970.4011683168317,25049.834118811883,33.4019801980198,246.0,236.0,23.0,126.0,32.0,55.0,60.0,71.0,50.0,53.0,36.0,22.0
2094.9601782178215,24686.06910891089,33.40594059405941,245.0,237.0,23.0,127.0,33.0,55.0,62.0,69.0,50.0,51.0,37.0,21.0
2054.701485148515,24219.791623762376,33.524752475247524,242.0,241.0,22.0,126.0,33.0,57.0,64.0,70.0,50.0,45.0,38.0,22.0
2064.255207920792,24704.83803960396,33.67128712871287,244.0,240.0,21.0,125.0,33.0,59.0,64.0,72.0,53.0,39.0,38.0,22.0
2127.5098023715414,25346.737727272724,33.86758893280632,243.0,242.0,21.0,122.0,33.0,62.0,66.0,73.0,54.0,34.0,40.0,22.0
2195.2158858267717,25217.092913385826,34.15157480314961,243.0,243.0,22.0,121.0,35.0,63.0,68.0,74.0,55.0,30.0,42.0,20.0
2298.0666862745097,25672.872607843135,34.73725490196078,245.0,243.0,22.0,118.0,35.0,67.0,72.0,75.0,56.0,28.0,43.0,16.0
2411.028671875,26397.233515625,35.455078125,248.0,242.0,22.0,113.0,35.0,66.0,73.0,76.0,57.0,32.0,44.0,16.0
2398.3531568627454,26693.66994117647,35.73725490196078,246.0,242.0,22.0,110.0,34.0,65.0,72.0,77.0,58.0,31.0,46.0,17.0
2190.7442716535434,26693.997814960632,35.854330708661415,249.0,237.0,22.0,109.0,34.0,66.0,71.0,76.0,58.0,30.0,45.0,19.0
2256.200431372549,26955.701784313726,36.431372549019606,248.0,240.0,22.0,106.0,34.0,65.0,72.0,75.0,59.0,34.0,43.0,22.0
2080.6936328125,27421.00013671875,37.14453125,248.0,241.0,23.0,103.0,33.0,64.0,72.0,75.0,58.0,41.0,44.0,22.0
2151.95109375,27629.701250000002,37.732421875,248.0,241.0,23.0,100.0,34.0,62.0,73.0,77.0,57.0,45.0,41.0,23.0
2029.920859375,28456.73568359375,38.306640625,249.0,240.0,23.0,97.0,33.0,62.0,72.0,75.0,58.0,50.0,41.0,24.0
2395.680998043053,29254.51931506849,38.66731898238748,249.0,238.0,24.0,93.0,33.0,63.0,70.0,76.0,58.0,52.0,42.0,24.0
2360.2212252964428,29020.7016798419,38.5098814229249,245.0,237.0,24.0,92.0,30.0,60.0,72.0,78.0,60.0,48.0,42.0,24.0
2504.046712871287,28687.171524752473,38.467326732673264,243.0,240.0,22.0,91.0,31.0,59.0,71.0,78.0,60.0,48.0,42.0,25.0
2448.597683168317,29159.30102970297,38.62178217821782,242.0,241.0,22.0,90.0,31.0,58.0,68.0,79.0,60.0,51.0,43.0,25.0
2370.1385742574257,29798.03714851485,38.62376237623762,242.0,241.0,22.0,90.0,31.0,59.0,68.0,76.0,59.0,52.0,44.0,26.0
2562.1086878727633,29731.956998011927,38.54870775347913,239.0,242.0,22.0,90.0,32.0,56.0,70.0,74.0,59.0,52.0,44.0,26.0
2452.9554761904765,30043.029464285715,38.607142857142854,243.0,239.0,22.0,91.0,32.0,56.0,69.0,73.0,60.0,54.0,43.0,26.0
2444.5563273453095,29793.94770459082,38.30938123752495,242.0,236.0,23.0,93.0,31.0,55.0,67.0,74.0,60.0,51.0,43.0,27.0
2534.471207920792,30067.99112871287,38.54257425742574,243.0,240.0,22.0,94.0,32.0,56.0,67.0,72.0,59.0,55.0,43.0,27.0
2417.281952191235,29616.87515936255,38.19521912350598,242.0,238.0,22.0,96.0,32.0,58.0,67.0,72.0,57.0,53.0,41.0,26.0
2434.8739960238568,29645.19222664016,38.27634194831014,242.0,239.0,22.0,99.0,33.0,57.0,65.0,73.0,54.0,55.0,40.0,27.0
2429.562103174603,29347.6598015873,38.323412698412696,241.0,241.0,22.0,103.0,34.0,56.0,63.0,73.0,50.0,57.0,41.0,27.0
2423.27466,29238.91474,37.794,239.0,239.0,22.0,108.0,32.0,56.0,62.0,72.0,50.0,52.0,40.0,28.0
2375.3398003992015,28317.670578842317,37.54690618762475,241.0,238.0,22.0,112.0,32.0,56.0,60.0,71.0,50.0,52.0,40.0,28.0
2437.5599005964214,28868.813180914512,37.65407554671968,241.0,240.0,22.0,115.0,32.0,55.0,60.0,69.0,51.0,54.0,39.0,28.0
2395.8785657370518,28923.18621513944,37.42828685258964,244.0,237.0,21.0,120.0,32.0,54.0,59.0,68.0,50.0,51.0,40.0,28.0
2373.600257936508,29591.5123015873,37.56944444444444,248.0,235.0,21.0,124.0,31.0,52.0,60.0,69.0,49.0,53.0,38.0,28.0
2417.9860636182902,29144.45027833002,37.50099403578529,246.0,237.0,20.0,128.0,30.0,51.0,61.0,68.0,48.0,52.0,37.0,28.0
2234.5865805168987,29472.27413518887,37.49701789264414,244.0,239.0,20.0,131.0,30.0,51.0,62.0,66.0,48.0,50.0,35.0,30.0
